Title,Year,Director,Rating,,Number of Ratings,Country
Le Dernier Combat (1983),1983,Luc Besson,6.7,,6632,France
The New Barbarians (1983),2020,Unknown,N/A,,3167,Italy
Stryker (1983),1983,Cirio H. Santiago,4.4,,834,Philippines
Testament (1983),1983,Lynne Littman,6.9,,7345,United States
The Prodigal Planet (1983),1983,Donald W. Thompson,4.5,,275,United States
Exterminators of the Year 3000 (1983),1983,Giuliano Carnimeo,5.1,,1372,Italy
2020 Texas Gladiators (1983)[2],1983,Joe D'Amato,4.5,,839,Italy
"2019, After the Fall of New York (1983)[3]",1983,Sergio Martino,5.5,,3345,Italy
Das Arche Noah Prinzip (1984),1984,Roland Emmerich,4.9,,1126,West Germany
When the Wind Blows (1984),1986,Jimmy T. Murakami,7.7,,12964,United Kingdom
Sexmission (1984),1984,Juliusz Machulski,7.5,,14697,Poland
Threads (1984),1984,Mick Jackson,8.0,,21054,United Kingdom
Nausicaä of the Valley of the Wind (1984),1984,Hayao Miyazaki,8.0,,185543,Japan
Night of the Comet (1984),1984,Thom Eberhardt,6.3,,24686,United States
The Terminator (1984),1984,James Cameron,8.1,,N/A,South Korea
Day of the Dead (1985),1985,George A. Romero,7.1,,75336,United States
The Quiet Earth (1985),1985,Geoff Murphy,6.7,,27983,New Zealand
Mad Max Beyond Thunderdome (1985),1985,George Miller,6.2,,154729,Australia
Radioactive Dreams (1985),2021,Unknown,N/A,,1990,Mexico
Def-Con 4 (1985),1985,Paul Donovan,4.5,,N/A,Unknown
Wheels of Fire (1985),1985,Cirio H. Santiago,4.8,,1093,Philippines
America 3000 (1986),1986,David Engelbach,4.2,,N/A,Unknown
Dead Man's Letters (1986),1986,Konstantin Lopushanskiy,7.5,,3949,Soviet Union
Fist of the North Star (1986),1986,Toyoo Ashida,7.1,,7379,Japan
Land of Doom (1986),1986,Peter Maris,3.6,,804,United States
Solarbabies (1986),1986,Alan Johnson,4.7,,5060,United States
Steel Dawn (1987),1987,Lance Hool,5.1,,5608,United States
Cherry 2000 (1987),2022,Unknown,N/A,,N/A,Unknown
The Seventh Sign (1988),1988,Carl Schultz,5.8,,15854,United States
Akira (1988),1988,Katsuhiro Ôtomo,8.0,,208879,Japan
Miracle Mile (1988),1988,Steve De Jarnatt,7.0,,N/A,Unknown
Hell Comes to Frogtown (1988),1988,Donald G. Jackson,5.5,,7566,United States
A Visitor to a Museum (1989),1989,Konstantin Lopushanskiy,7.2,,1424,Soviet Union
The Blood of Heroes (The Salute of the Jugger) (1989),1989,David Webb Peoples,6.4,,7678,Australia
Bunker Palace Hôtel (1989),1989,Enki Bilal,6.4,,971,France
Cyborg (1989),1989,Albert Pyun,5.0,,34870,United States
Millennium (1989),1989,Michael Anderson,5.7,,7059,Canada
Aftershock (1990),1990,Frank Harris,4.2,,418,United States
By Dawn's Early Light (1990),1990,Jack Sholder,6.9,,4177,United States
Solar Crisis (1990),1990,Richard C. Sarafian,4.1,,2128,Japan
The Handmaid's Tale (1990),2017,Unknown,8.4,,262477,United States
Hardware (1990),1990,Richard Stanley,5.9,,16660,United Kingdom
Circuitry Man (1990),1990,Steven Lovy,4.7,,1037,United States
Terminator 2: Judgment Day (1991),1991,James Cameron,8.6,,1192411,United States
Until the End of the World (1991),1991,Wim Wenders,6.8,,11539,Germany
The Rapture (1991),1991,Michael Tolkin,6.3,,N/A,Unknown
Neon City (1991),1991,Monte Markham,5.3,,1284,United States
Delicatessen (1991),1991,Marc Caro,7.5,,90815,France
Split Second (1992),N/A,Unknown,N/A,,N/A,Unknown
American Cyborg: Steel Warrior (1993),1993,Boaz Davidson,4.3,,1672,United States
Body Snatchers (1993),1993,Abel Ferrara,6.0,,N/A,Unknown
The Last Border (1993),1993,Mika Kaurismäki,4.5,,517,Finland
Without Warning (1994),1994,Robert Iscove,6.8,,1553,United States
Plughead Rewired: Circuitry Man II (1994),1994,Robert Lovy,3.5,,481,United States
In the Mouth of Madness (1994),1994,John Carpenter,7.1,,80898,United States
12 Monkeys (1995),1995,Terry Gilliam,8.0,,N/A,Unknown
Sentinel 2099 (1995),1995,Michael McGee,5.6,,34,United States
Steel Frontier (1995),1995,Jacobsen Hart,4.8,,648,United States
Tank Girl (1995),1995,Rachel Talalay,5.4,,N/A,Unknown
Judge Dredd (1995),1995,Danny Cannon,5.6,,N/A,Unknown
Waterworld (1995),1995,Kevin Reynolds,6.3,,213157,United States
The Prophecy (1995),1995,Gregory Widen,6.4,,N/A,Unknown
The Arrival (1996),1996,David Twohy,6.2,,N/A,Unknown
Omega Doom (1996),1996,Albert Pyun,4.0,,3375,United States
Escape from L.A. (1996),1996,John Carpenter,5.7,,81487,United States
The End of Evangelion (1997),1997,Hideaki Anno,8.1,,66435,Japan
The Postman (1997),1997,Kevin Costner,6.1,,N/A,Unknown
Future Fear (1997),1997,Lewis Baumander,2.7,,376,Canada
Last Night (1998),1998,Don McKellar,7.1,,10211,Canada
The Prophecy 2 (1998),1998,Greg Spence,5.7,,8290,United States
Six String Samurai (1998),1998,Lance Mungia,6.4,,8084,United States
Beowulf (1999),1999,Graham Baker,4.1,,12681,United Kingdom
Dogma (1999),1999,Kevin Smith,7.3,,230771,United States
End of Days (1999),1999,Peter Hyams,5.8,,117633,United States
The Matrix (1999),1999,Lana Wachowski,8.7,,N/A,Unknown
The Omega Code (1999),1999,Robert Marcarelli,3.5,,5564,United States
Fail Safe (2000),2000,Stephen Frears,7.4,,6632,United States
The Last Warrior (2000),2017,Dmitriy Dyachenko,6.4,,3490,Russia
Left Behind (2000),2000,Vic Sarin,4.3,,N/A,Unknown
Lost Souls (2000),2000,Janusz Kaminski,4.8,,11447,United States
The Prophecy 3: The Ascent (2000),2000,Patrick Lussier,5.4,,5869,United States
